この際 委員の異動について御報告 いたします , おはようございます
今の その 読ませて いただいた 最初の ところでございますが 決裁文書 三十年 保存 という 文書 管理 規程 がございまして 当然 そういうもの はある だろう というふうには 分かって おりました ので そういうことを まさに 自分 が 見た かどうかということ という コメント とは 関係 なく そういう 決裁文書 はある だろう ということを申し上げた わけでございまして 私自身 が いつ その 決裁文書 を 認識 した かという 点につきましては そ この点については 答弁を 差し控えさせていただきたい というふうに思っております , 全く 理解 できません
その 今委員が その 虚偽 の答弁 とおっしゃいました が それは その 虚偽 の答弁 であった かどうかは 私自身 が その 書き 換 え られた 決裁文書 を どの 時点で いつ どういうふうに して 認識 した か に関わる 話 でございまして それが 本当に 虚偽 の答弁 だった かどうか の 認識 に関わる 話 だろう というふうに思っております ので その点について も 同様 でございまして , 今は 昨日 の 太田 局長 の答弁 と 完全に 異なって いる んですが 虚偽 かどうかは 別に して じゃ この 答弁 書 は 原 課 が 作った ということで 先ほど 言われた の でいい ですね
その 最初の 虚偽 の答弁 云々 の話 は まさに その 決裁文書 の 認識 の話 でございますので お答えは差し控え ます , 非常に 理解 し 難 い 答弁 が たくさん あります
 貸付け も 売却 も 鑑定 士 に 掛け た 下 で 契約 書 を作って いる ということでございます , 勉強 の 成果 と あなた は 言った から 私は そう 申し上げている んです
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
お答えを申し上げます , 太田 局長 あなた ね 国会で 答弁 したこと を 聞か れて 確認 をされて いろいろ 言い 訳 が ま しい ことを 付け 足 す のは やめ た 方がいい
お答えを申し上げます , 僕 ね あなた が そう 言う と思った から ちゃんと 用意 している んですよ
速記を起こして ください , 改ざん 前の 決裁文書 を前提に 答弁 書 を 書いている と 言われている の に なぜ 改ざん 前の 文書 には 一 月九日 訪問 した と 書いてある の に 一 月九日 と 言われ まして も そこの 記録 がある わけではございません と言って 虚偽 の答弁 をした のか 理由 を お答えください と 申し上げています
お答えを申し上げます , 次の を 御紹介 します
お答えを申し上げます , 太田 さん その 説明 分かった よう で 分からない んです
お答えを申し上げます , 全く 答えていない
お答えを申し上げます , だから 太田 さん 私が聞いているのは もう この とき 既に 改ざん 後 を前提に 答弁 を作って いた ということは じゃ お認め いた だけ ます ね
